Model,ROUGE-1,ROUGE-2,ROUGE-L,Readability
Extractive,0.3638640105071474,0.11963985852917106,0.1980656656087584,30.22028289519231
BioBART,0.3796835572994246,0.13048800871775876,0.20629947593850134,26.31543366833218
Hybrid,0.3996812922771559,0.1328298443171767,0.20467648637701555,33.52525809598806
